Operation,DN,Attribute: Value
change,"['soapService=HSS-BC-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 0]","('http://10.113.45.4:10180/NotificationService/services/Common', 'http://10.113.37.4:10180/NotificationService/services/Common')"
change,"['soapService=HSS-BC-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 1]","('http://10.113.37.4:10180/NotificationService/services/Common', 'http://10.113.21.4:10180/NotificationService/services/Common')"
change,"['soapService=HSS-BC-DEFAULT,configType=soapClient,config=sdf,', 'soapUrlList', 2]","('http://10.113.21.4:10180/NotificationService/services/Common', 'http://10.113.45.4:10180/NotificationService/services/Common')"
change,"['groupId=0.0.17.1218.127.16.16,configType=group,config=sdf,', 'users', 3]","('1.3.6.1.4.1.4329.1.6.125.2', '0.0.17.1218.127.125.63000')"
change,"['groupId=0.0.17.1218.127.16.16,configType=group,config=sdf,', 'users', 4]","('1.3.6.1.4.1.4329.1.6.125.5', '0.0.17.1218.127.125.63001')"
change,"['groupId=0.0.17.1218.127.16.16,configType=group,config=sdf,', 'users', 5]","('1.3.6.1.4.1.4329.1.6.125.8', '1.3.6.1.4.1.4329.1.6.125.2')"
change,"['groupId=0.0.17.1218.127.16.16,configType=group,config=sdf,', 'users', 6]","('0.0.17.1218.127.125.63000', '1.3.6.1.4.1.4329.1.6.125.5')"
change,"['groupId=0.0.17.1218.127.16.16,configType=group,config=sdf,', 'users', 7]","('0.0.17.1218.127.125.63001', '1.3.6.1.4.1.4329.1.6.125.8')"
change,"['objectClassId=0.0.17.1218.127.6.10,configType=objectClass,config=sdf,', 'optAttrIds', 9]","('0.0.17.1218.127.4.5423', '0.0.17.1218.127.4.5421')"
change,"['objectClassId=0.0.17.1218.127.6.10,configType=objectClass,config=sdf,', 'optAttrIds', 10]","('0.0.17.1218.127.4.5421', '0.0.17.1218.127.4.5422')"
change,"['objectClassId=0.0.17.1218.127.6.10,configType=objectClass,config=sdf,', 'optAttrIds', 12]","('0.0.17.1218.127.4.5422', '0.0.17.1218.127.4.5423')"
change,"['objectClassId=0.0.17.1218.127.6.5026,configType=objectClass,config=sdf,', 'optAttrIds', 3]","('0.0.17.1218.127.4.5438', '2.5.24.5')"
change,"['objectClassId=0.0.17.1218.127.6.5026,configType=objectClass,config=sdf,', 'optAttrIds', 4]","('0.0.17.1218.127.4.5439', '0.0.17.1218.127.4.5438')"
change,"['objectClassId=0.0.17.1218.127.6.5026,configType=objectClass,config=sdf,', 'optAttrIds', 5]","('2.5.24.5', '0.0.17.1218.127.4.5439')"
change,"['objectClassId=0.0.17.1218.127.6.5028,configType=objectClass,config=sdf,', 'optAttrIds', 2]","('0.0.17.1218.127.4.5433', '2.5.24.5')"
change,"['objectClassId=0.0.17.1218.127.6.5028,configType=objectClass,config=sdf,', 'optAttrIds', 3]","('0.0.17.1218.127.4.5434', '0.0.17.1218.127.4.5433')"
change,"['objectClassId=0.0.17.1218.127.6.5028,configType=objectClass,config=sdf,', 'optAttrIds', 4]","('2.5.24.5', '0.0.17.1218.127.4.5434')"
change,"['objectClassId=0.0.17.1218.127.6.5046,configType=objectClass,config=sdf,', 'optAttrIds', 5]","('0.0.17.1218.127.4.5435', '0.0.17.1218.127.4.5258')"
change,"['objectClassId=0.0.17.1218.127.6.5046,configType=objectClass,config=sdf,', 'optAttrIds', 6]","('0.0.17.1218.127.4.5258', '2.5.24.5')"
